Id,division,user type,country,WS_01,WS_02,WS_03,WS_04,WS_05,WS_06,WS_07,WS_08,WS_09,WS_10,WS_11,WSx_11,WSx_12,WSx_13,WSx_14,WSx_15,WSx_16,WSx_17,WSx_18,WSx_19,WSx_20,WS_RM,WS_RM_Language,WS_RM_eng,WS_RM2,WS_RM2_Language,WS_RM2_eng,BA_01,BA_02,BA_03,BA_04,BA_05,BA_06,BAx_11,BAx_12,BAx_13,BAx_14,BAx_15,BAx_16,BAx_17,BAx_18,BAx_19,BAx_20,BA_RM,BA_RM_Language,BA_RM_eng,BA_RM2,BA_RM2_Language,BA_RM2_eng,TR_01,TR_02,TR_03,TR_04,TR_05,TR_06,TR_07,TR_08,TR_09,TR_10,TRx_11,TRx_12,TRx_13,TRx_14,TRx_15,TRx_16,TRx_17,TRx_18,TRx_19,TRx_20,general_OS,general_RM
4677,Finance,field service engineer,New Zealand,2,4,4,4,3,3,1,3,,,,1,1,,,,,,,,,,,,,,,3,2,2,4,3,3,,,,,,,,,,,,,,,,,1,1,1,2,2,1,4,,,,,,,,,,,,,,5,
4678,Strategy & PMI,engineer,Malaysia,2,3,1,2,1,3,4,4,,,,4,1,,,,,,,,,,,,,,,3,2,2,4,2,2,,,,,,,,,,,,,,,,,4,3,1,3,3,2,1,,,,,,,,,,,,,,8,
4679,Operations & Manufacturing,sales,Netherlands,2,4,3,4,2,4,2,3,,,,2,2,,,,,,,,,,,,,,,3,4,3,3,3,3,,,,,,,,,,,,,,,,,3,1,1,1,2,2,1,,,,,,,,,,,,,,10,
4680,Sales & Export,kiosk worker,Germany,2,2,1,4,2,3,4,1,,,,2,2,,,,,,,,,,,,,,,4,3,2,1,3,3,,,,,,,,,,,,,,,,,4,3,1,3,2,1,2,,,,,,,,,,,,,,8,
4681,Sales & Export,field service engineer,Germany,1,1,4,3,3,3,2,1,,,,2,1,,,,,,,,,,,,,,,2,2,1,1,1,3,,,,,,,,,,,,,,,,,2,3,2,4,4,3,2,,,,,,,,,,,,,,5,
4682,Sales & Export,engineer,United Kingdom,4,3,1,4,3,2,3,2,,,,1,3,,,,,,,,,,,,,,,3,2,1,3,4,3,,,,,,,,,,,,,,,,,1,3,3,2,4,1,4,,,,,,,,,,,,,,6,
4683,Information Technology,sales,Netherlands,1,2,3,1,2,2,2,1,,,,3,4,,,,,,,,,,,,,,,4,1,4,4,2,1,,,,,,,,,,,,,,,,,3,3,1,3,3,2,2,,,,,,,,,,,,,,4,
4684,Operations & Manufacturing,kiosk worker,Thailand,4,1,4,4,2,4,3,1,,,,2,1,,,,,,,,,,,,,,,4,4,3,1,4,1,,,,,,,,,,,,,,,,,2,3,1,3,3,4,1,,,,,,,,,,,,,,10,
4685,Supply Chain,field service engineer,France,3,2,1,2,4,3,3,3,,,,4,4,,,,,,,,,,,,,,,1,2,2,2,4,2,,,,,,,,,,,,,,,,,2,2,3,2,1,3,3,,,,,,,,,,,,,,6,
4686,Human Resources,engineer,Romania,1,2,4,1,3,2,4,3,,,,1,2,,,,,,,,,,,,,,,2,3,4,4,2,3,,,,,,,,,,,,,,,,,4,1,4,3,1,4,3,,,,,,,,,,,,,,8,
4687,Sales & Export,sales,Germany,4,3,3,4,1,2,4,3,,,,3,2,,,,,,,,,,,,,,,2,4,4,1,3,4,,,,,,,,,,,,,,,,,4,1,1,4,2,2,3,,,,,,,,,,,,,,4,
4688,Professional Operations,kiosk worker,Norway,3,3,4,2,3,4,4,3,,,,2,2,,,,,,,,,,,,,,,4,2,2,4,2,2,,,,,,,,,,,,,,,,,3,2,2,1,1,4,2,,,,,,,,,,,,,,9,
4689,General Management,field service engineer,Ireland,3,4,1,2,1,1,2,3,,,,1,1,,,,,,,,,,,,,,,4,2,2,2,4,4,,,,,,,,,,,,,,,,,3,4,4,3,2,4,1,,,,,,,,,,,,,,8,
4690,Operations & Manufacturing,engineer,Germany,3,4,3,1,4,4,4,1,,,,1,2,,,,,,,,,,,,,,,2,1,3,2,2,1,,,,,,,,,,,,,,,,,4,3,1,2,2,4,1,,,,,,,,,,,,,,7,
4691,Marketing,sales,Spain,2,1,3,4,4,2,1,4,,,,4,1,,,,,,,,,,,,,,,2,1,2,4,3,1,,,,,,,,,,,,,,,,,1,1,3,3,2,1,4,,,,,,,,,,,,,,9,
4692,Supply Chain,kiosk worker,Netherlands,3,2,2,1,2,4,2,3,,,,4,2,,,,,,,,,,,,,,,3,3,4,3,2,4,,,,,,,,,,,,,,,,,4,4,1,1,2,3,3,,,,,,,,,,,,,,7,
4693,Sales & Export,field service engineer,Brazil,1,2,3,2,1,3,2,1,,,,3,1,,,,,,,,,,,,,,,3,1,3,2,4,3,,,,,,,,,,,,,,,,,4,4,2,1,3,1,4,,,,,,,,,,,,,,7,
4694,Professional Operations,engineer,Belgium,2,2,2,4,4,1,2,3,,,,3,4,,,,,,,,,,,,,,,2,3,1,3,4,2,,,,,,,,,,,,,,,,,3,1,3,3,2,2,3,,,,,,,,,,,,,,10,
4695,Sales & Export,sales,Brazil,3,1,1,3,1,3,4,3,,,,4,4,,,,,,,,,,,,,,,3,2,1,3,3,3,,,,,,,,,,,,,,,,,1,3,2,4,3,4,1,,,,,,,,,,,,,,10,
4696,Sales & Export,kiosk worker,Russia,2,4,2,2,1,2,1,3,,,,2,1,,,,,,,,,,,,,,,2,1,4,3,4,3,,,,,,,,,,,,,,,,,3,4,2,2,2,1,1,,,,,,,,,,,,,,10,
4697,Finance,field service engineer,New Zealand,1,3,4,2,3,1,3,4,,,,2,2,,,,,,,,,,,,,,,2,4,2,2,4,3,,,,,,,,,,,,,,,,,4,4,3,3,1,4,1,,,,,,,,,,,,,,6,
4698,Strategy & PMI,engineer,Malaysia,1,4,4,2,3,3,2,1,,,,4,4,,,,,,,,,,,,,,,1,4,2,4,1,1,,,,,,,,,,,,,,,,,2,3,4,3,4,3,1,,,,,,,,,,,,,,10,
4699,Operations & Manufacturing,sales,Netherlands,2,1,3,1,2,1,2,4,,,,4,1,,,,,,,,,,,,,,,4,1,2,4,4,4,,,,,,,,,,,,,,,,,4,3,4,1,3,3,4,,,,,,,,,,,,,,6,
4700,Sales & Export,kiosk worker,Germany,3,2,4,3,1,1,1,2,,,,1,1,,,,,,,,,,,,,,,4,4,1,3,1,2,,,,,,,,,,,,,,,,,3,4,3,1,1,1,1,,,,,,,,,,,,,,6,
4701,Sales & Export,field service engineer,Germany,2,2,3,3,2,1,1,3,,,,4,4,,,,,,,,,,,,,,,1,2,1,2,2,2,,,,,,,,,,,,,,,,,1,4,2,4,2,1,3,,,,,,,,,,,,,,7,
4702,Sales & Export,engineer,United Kingdom,4,1,1,2,1,3,4,4,,,,2,2,,,,,,,,,,,,,,,2,4,4,1,1,3,,,,,,,,,,,,,,,,,2,2,1,2,3,3,4,,,,,,,,,,,,,,8,
4703,Information Technology,sales,Netherlands,4,2,4,1,4,2,3,4,,,,4,2,,,,,,,,,,,,,,,3,3,1,3,2,2,,,,,,,,,,,,,,,,,1,3,3,2,3,4,3,,,,,,,,,,,,,,10,
4704,Operations & Manufacturing,kiosk worker,Thailand,2,4,3,2,3,4,3,2,,,,3,4,,,,,,,,,,,,,,,1,3,4,4,1,3,,,,,,,,,,,,,,,,,2,3,2,4,1,3,3,,,,,,,,,,,,,,5,
4705,Supply Chain,field service engineer,France,4,1,3,4,1,4,2,2,,,,1,2,,,,,,,,,,,,,,,4,1,4,2,3,4,,,,,,,,,,,,,,,,,2,1,4,4,1,2,4,,,,,,,,,,,,,,7,
4706,Human Resources,engineer,Romania,4,3,2,4,2,3,1,3,,,,4,2,,,,,,,,,,,,,,,2,4,3,4,1,1,,,,,,,,,,,,,,,,,1,4,3,2,4,2,1,,,,,,,,,,,,,,7,
4707,Sales & Export,sales,Germany,1,2,2,3,1,4,4,3,,,,2,4,,,,,,,,,,,,,,,3,4,1,1,1,3,,,,,,,,,,,,,,,,,2,3,1,1,3,4,4,,,,,,,,,,,,,,4,
4708,Professional Operations,kiosk worker,Norway,4,2,3,1,3,4,1,3,,,,2,1,,,,,,,,,,,,,,,2,1,3,1,1,3,,,,,,,,,,,,,,,,,2,3,1,1,2,3,4,,,,,,,,,,,,,,8,
4709,General Management,field service engineer,Ireland,2,2,1,2,2,4,1,2,,,,4,1,,,,,,,,,,,,,,,4,1,1,1,2,1,,,,,,,,,,,,,,,,,1,3,3,1,1,4,1,,,,,,,,,,,,,,5,
4710,Operations & Manufacturing,engineer,Germany,3,2,4,3,2,4,3,3,,,,4,2,,,,,,,,,,,,,,,4,4,1,4,3,1,,,,,,,,,,,,,,,,,1,2,1,4,2,4,4,,,,,,,,,,,,,,5,
4711,Marketing,sales,Spain,3,1,4,2,3,2,2,3,,,,2,3,,,,,,,,,,,,,,,3,4,2,2,1,3,,,,,,,,,,,,,,,,,4,1,1,4,4,3,1,,,,,,,,,,,,,,7,
4712,Supply Chain,kiosk worker,Netherlands,1,2,3,4,3,3,4,3,,,,4,2,,,,,,,,,,,,,,,4,1,2,1,3,1,,,,,,,,,,,,,,,,,4,1,3,1,3,4,4,,,,,,,,,,,,,,6,
4713,Sales & Export,field service engineer,Brazil,2,4,2,3,4,2,3,1,,,,2,1,,,,,,,,,,,,,,,4,3,2,3,4,3,,,,,,,,,,,,,,,,,3,2,4,3,3,1,1,,,,,,,,,,,,,,5,
4714,Professional Operations,engineer,Belgium,1,4,3,2,1,2,1,1,,,,4,4,,,,,,,,,,,,,,,4,4,2,4,4,2,,,,,,,,,,,,,,,,,3,2,1,2,2,4,4,,,,,,,,,,,,,,9,
4715,Sales & Export,sales,Brazil,3,1,2,1,2,2,1,3,,,,4,1,,,,,,,,,,,,,,,3,3,2,1,1,2,,,,,,,,,,,,,,,,,2,1,3,3,3,3,1,,,,,,,,,,,,,,10,
4716,Sales & Export,kiosk worker,Russia,3,4,4,3,3,2,3,4,,,,2,1,,,,,,,,,,,,,,,1,1,3,3,2,3,,,,,,,,,,,,,,,,,1,1,1,2,1,2,2,,,,,,,,,,,,,,8,
4717,Finance,field service engineer,New Zealand,2,3,2,2,2,4,1,1,,,,2,4,,,,,,,,,,,,,,,1,1,4,2,4,3,,,,,,,,,,,,,,,,,2,1,3,1,4,2,2,,,,,,,,,,,,,,6,
4718,Strategy & PMI,engineer,Malaysia,3,3,4,2,3,4,1,1,,,,3,1,,,,,,,,,,,,,,,4,1,4,4,1,4,,,,,,,,,,,,,,,,,3,2,1,3,3,3,2,,,,,,,,,,,,,,6,
4719,Operations & Manufacturing,sales,Netherlands,3,3,4,4,4,1,2,4,,,,1,4,,,,,,,,,,,,,,,2,4,4,4,3,3,,,,,,,,,,,,,,,,,2,1,4,3,1,4,2,,,,,,,,,,,,,,6,
4720,Sales & Export,kiosk worker,Germany,2,2,2,2,2,2,2,2,,,,3,4,,,,,,,,,,,,,,,1,3,3,2,3,1,,,,,,,,,,,,,,,,,4,2,3,3,3,3,4,,,,,,,,,,,,,,6,
4721,Sales & Export,field service engineer,Germany,2,2,1,4,3,3,1,1,,,,1,1,,,,,,,,,,,,,,,2,1,4,3,2,2,,,,,,,,,,,,,,,,,1,1,2,2,1,2,4,,,,,,,,,,,,,,7,
4722,Sales & Export,engineer,United Kingdom,3,1,2,2,2,4,2,3,,,,1,4,,,,,,,,,,,,,,,3,4,1,4,3,4,,,,,,,,,,,,,,,,,2,4,4,4,2,2,1,,,,,,,,,,,,,,8,
4723,Information Technology,sales,Netherlands,2,1,1,3,3,3,1,4,,,,4,4,,,,,,,,,,,,,,,1,4,2,3,3,1,,,,,,,,,,,,,,,,,4,1,3,3,4,2,4,,,,,,,,,,,,,,6,
4724,Operations & Manufacturing,kiosk worker,Thailand,1,2,1,1,1,2,3,4,,,,4,3,,,,,,,,,,,,,,,1,3,4,2,4,3,,,,,,,,,,,,,,,,,1,2,1,3,4,4,2,,,,,,,,,,,,,,10,
4725,Supply Chain,field service engineer,France,2,2,1,4,2,4,4,3,,,,2,3,,,,,,,,,,,,,,,1,1,2,3,1,4,,,,,,,,,,,,,,,,,1,2,3,3,3,1,4,,,,,,,,,,,,,,4,
4726,Human Resources,engineer,Romania,1,3,2,4,4,2,3,1,,,,3,3,,,,,,,,,,,,,,,4,3,1,2,4,2,,,,,,,,,,,,,,,,,3,3,2,4,1,2,2,,,,,,,,,,,,,,10,
4727,Sales & Export,sales,Germany,2,4,3,2,4,1,4,3,,,,2,4,,,,,,,,,,,,,,,1,3,2,1,3,1,,,,,,,,,,,,,,,,,2,1,1,4,3,3,2,,,,,,,,,,,,,,10,
4728,Professional Operations,kiosk worker,Norway,4,4,2,3,2,2,2,2,,,,4,4,,,,,,,,,,,,,,,2,4,4,1,2,3,,,,,,,,,,,,,,,,,2,3,2,4,2,1,4,,,,,,,,,,,,,,5,
4729,General Management,field service engineer,Ireland,2,3,4,3,4,3,4,3,,,,1,2,,,,,,,,,,,,,,,2,2,3,1,4,4,,,,,,,,,,,,,,,,,3,4,1,3,2,2,3,,,,,,,,,,,,,,10,
4730,Operations & Manufacturing,engineer,Germany,2,1,4,1,1,4,4,4,,,,3,3,,,,,,,,,,,,,,,4,4,3,2,3,3,,,,,,,,,,,,,,,,,3,2,4,1,4,1,1,,,,,,,,,,,,,,8,
4731,Marketing,sales,Spain,2,4,3,2,1,1,1,2,,,,3,4,,,,,,,,,,,,,,,4,1,3,4,3,1,,,,,,,,,,,,,,,,,2,4,2,2,2,2,2,,,,,,,,,,,,,,6,
4732,Supply Chain,kiosk worker,Netherlands,3,2,3,2,4,4,4,2,,,,1,3,,,,,,,,,,,,,,,1,4,2,2,2,1,,,,,,,,,,,,,,,,,4,2,4,3,3,1,3,,,,,,,,,,,,,,6,
4733,Sales & Export,field service engineer,Brazil,4,3,1,3,1,4,1,3,,,,2,3,,,,,,,,,,,,,,,1,2,2,2,4,2,,,,,,,,,,,,,,,,,4,3,4,3,4,3,4,,,,,,,,,,,,,,5,
4734,Professional Operations,engineer,Belgium,2,4,1,1,3,2,2,4,,,,1,1,,,,,,,,,,,,,,,4,3,2,3,1,2,,,,,,,,,,,,,,,,,1,4,2,1,4,3,2,,,,,,,,,,,,,,7,
4735,Sales & Export,sales,Brazil,2,1,3,1,4,1,2,4,,,,1,3,,,,,,,,,,,,,,,1,1,2,1,1,2,,,,,,,,,,,,,,,,,2,2,4,1,4,3,3,,,,,,,,,,,,,,7,
4736,Sales & Export,kiosk worker,Russia,4,1,2,1,3,4,3,3,,,,3,2,,,,,,,,,,,,,,,2,4,3,3,3,3,,,,,,,,,,,,,,,,,2,2,4,1,4,3,1,,,,,,,,,,,,,,5,
4737,Finance,field service engineer,New Zealand,3,1,1,2,2,1,3,1,,,,3,1,,,,,,,,,,,,,,,1,2,1,1,4,4,,,,,,,,,,,,,,,,,3,1,4,2,2,4,4,,,,,,,,,,,,,,7,
4738,Strategy & PMI,engineer,Malaysia,2,1,3,4,4,3,1,3,,,,2,4,,,,,,,,,,,,,,,4,4,4,3,2,2,,,,,,,,,,,,,,,,,3,2,3,1,3,1,2,,,,,,,,,,,,,,4,
4739,Operations & Manufacturing,sales,Netherlands,1,1,2,3,4,2,3,4,,,,2,3,,,,,,,,,,,,,,,4,3,2,2,2,1,,,,,,,,,,,,,,,,,2,1,2,3,3,3,4,,,,,,,,,,,,,,10,
4740,Sales & Export,kiosk worker,Germany,3,1,4,1,2,2,2,2,,,,2,4,,,,,,,,,,,,,,,2,1,3,4,2,2,,,,,,,,,,,,,,,,,1,3,1,1,2,4,1,,,,,,,,,,,,,,6,
4741,Sales & Export,field service engineer,Germany,4,2,4,3,4,4,2,4,,,,3,2,,,,,,,,,,,,,,,1,3,2,4,1,3,,,,,,,,,,,,,,,,,4,3,4,4,2,1,1,,,,,,,,,,,,,,6,
4742,Sales & Export,engineer,United Kingdom,2,4,3,3,1,1,4,1,,,,1,4,,,,,,,,,,,,,,,4,3,1,4,1,1,,,,,,,,,,,,,,,,,2,3,4,3,2,4,3,,,,,,,,,,,,,,6,
4743,Information Technology,sales,Netherlands,3,4,2,2,2,2,3,2,,,,4,3,,,,,,,,,,,,,,,4,4,1,3,3,4,,,,,,,,,,,,,,,,,2,2,2,1,2,2,2,,,,,,,,,,,,,,9,
4744,Operations & Manufacturing,kiosk worker,Thailand,3,2,3,1,2,3,1,2,,,,3,4,,,,,,,,,,,,,,,4,1,4,4,2,2,,,,,,,,,,,,,,,,,2,2,4,4,1,1,3,,,,,,,,,,,,,,5,
4745,Supply Chain,field service engineer,France,2,3,4,3,4,3,4,2,,,,4,4,,,,,,,,,,,,,,,3,3,1,3,1,3,,,,,,,,,,,,,,,,,3,1,1,1,2,3,2,,,,,,,,,,,,,,6,
4746,Human Resources,engineer,Romania,3,1,2,4,1,4,4,3,,,,2,3,,,,,,,,,,,,,,,4,1,1,3,3,4,,,,,,,,,,,,,,,,,4,1,3,2,4,1,3,,,,,,,,,,,,,,4,
4747,Sales & Export,sales,Germany,2,3,3,1,2,3,4,3,,,,3,4,,,,,,,,,,,,,,,1,4,1,1,4,4,,,,,,,,,,,,,,,,,4,2,4,3,2,4,1,,,,,,,,,,,,,,6,
4748,Professional Operations,kiosk worker,Norway,2,3,4,2,1,3,2,1,,,,2,2,,,,,,,,,,,,,,,3,3,1,3,3,1,,,,,,,,,,,,,,,,,2,4,3,3,3,4,3,,,,,,,,,,,,,,8,
4749,General Management,field service engineer,Ireland,3,1,4,1,2,3,1,1,,,,3,1,,,,,,,,,,,,,,,2,3,3,3,1,1,,,,,,,,,,,,,,,,,2,1,2,2,2,2,1,,,,,,,,,,,,,,4,
4750,Operations & Manufacturing,engineer,Germany,4,1,1,4,2,4,2,1,,,,1,2,,,,,,,,,,,,,,,3,4,3,4,2,3,,,,,,,,,,,,,,,,,4,4,2,2,3,4,1,,,,,,,,,,,,,,9,
4751,Marketing,sales,Spain,3,3,1,4,1,4,4,1,,,,3,1,,,,,,,,,,,,,,,2,1,1,3,3,4,,,,,,,,,,,,,,,,,1,1,2,4,1,4,4,,,,,,,,,,,,,,5,
4752,Supply Chain,kiosk worker,Netherlands,4,1,4,1,3,2,3,1,,,,3,4,,,,,,,,,,,,,,,1,1,4,4,4,4,,,,,,,,,,,,,,,,,2,2,4,3,3,3,2,,,,,,,,,,,,,,5,
4753,Sales & Export,field service engineer,Brazil,3,2,3,2,2,4,3,2,,,,3,2,,,,,,,,,,,,,,,2,4,3,4,3,4,,,,,,,,,,,,,,,,,4,3,3,4,1,4,3,,,,,,,,,,,,,,7,
4754,Professional Operations,engineer,Belgium,2,2,4,3,1,4,3,1,,,,3,1,,,,,,,,,,,,,,,2,1,3,4,3,2,,,,,,,,,,,,,,,,,4,4,1,4,1,4,3,,,,,,,,,,,,,,8,
4755,Sales & Export,sales,Brazil,3,1,4,2,4,1,3,3,,,,2,2,,,,,,,,,,,,,,,2,2,2,2,1,1,,,,,,,,,,,,,,,,,3,1,4,1,1,2,1,,,,,,,,,,,,,,5,
4756,Sales & Export,kiosk worker,Russia,1,4,3,2,4,4,3,1,,,,4,1,,,,,,,,,,,,,,,4,4,2,3,2,1,,,,,,,,,,,,,,,,,2,2,2,3,4,2,1,,,,,,,,,,,,,,5,
4757,Finance,field service engineer,New Zealand,2,3,2,3,1,1,4,3,,,,4,4,,,,,,,,,,,,,,,3,1,4,4,4,3,,,,,,,,,,,,,,,,,1,1,3,1,1,4,3,,,,,,,,,,,,,,5,
4758,Strategy & PMI,engineer,Malaysia,2,3,3,3,2,2,3,4,,,,1,3,,,,,,,,,,,,,,,3,1,3,4,4,1,,,,,,,,,,,,,,,,,3,3,2,4,3,4,3,,,,,,,,,,,,,,7,
4759,Operations & Manufacturing,sales,Netherlands,2,3,4,4,4,4,2,3,,,,2,3,,,,,,,,,,,,,,,4,3,2,4,2,2,,,,,,,,,,,,,,,,,3,1,3,1,1,1,2,,,,,,,,,,,,,,9,
4760,Sales & Export,kiosk worker,Germany,3,1,2,1,2,1,3,1,,,,4,4,,,,,,,,,,,,,,,3,1,2,2,2,1,,,,,,,,,,,,,,,,,1,4,1,2,3,1,2,,,,,,,,,,,,,,4,
4761,Sales & Export,field service engineer,Germany,3,1,4,1,3,1,2,1,,,,1,2,,,,,,,,,,,,,,,3,4,1,2,3,1,,,,,,,,,,,,,,,,,3,3,3,4,3,2,1,,,,,,,,,,,,,,7,
4762,Sales & Export,engineer,United Kingdom,1,3,4,1,4,3,1,4,,,,2,3,,,,,,,,,,,,,,,1,3,3,2,4,4,,,,,,,,,,,,,,,,,1,1,2,1,3,2,4,,,,,,,,,,,,,,5,
4763,Information Technology,sales,Netherlands,3,3,4,1,1,4,2,2,,,,2,4,,,,,,,,,,,,,,,3,2,1,4,3,2,,,,,,,,,,,,,,,,,1,1,2,1,4,4,2,,,,,,,,,,,,,,8,
4764,Operations & Manufacturing,kiosk worker,Thailand,2,4,1,1,4,3,2,3,,,,4,1,,,,,,,,,,,,,,,4,2,3,2,1,4,,,,,,,,,,,,,,,,,4,3,4,3,2,2,1,,,,,,,,,,,,,,4,
4765,Supply Chain,field service engineer,France,2,2,2,4,3,3,4,2,,,,2,1,,,,,,,,,,,,,,,3,2,1,2,2,4,,,,,,,,,,,,,,,,,2,4,2,3,4,1,3,,,,,,,,,,,,,,8,
4766,Human Resources,engineer,Romania,4,4,4,1,3,3,3,3,,,,2,2,,,,,,,,,,,,,,,1,4,1,4,1,4,,,,,,,,,,,,,,,,,1,1,2,3,2,3,1,,,,,,,,,,,,,,9,
4767,Sales & Export,sales,Germany,2,4,3,4,3,1,1,1,,,,4,4,,,,,,,,,,,,,,,2,1,2,2,3,2,,,,,,,,,,,,,,,,,3,3,1,4,2,3,1,,,,,,,,,,,,,,8,
4768,Professional Operations,kiosk worker,Norway,1,3,2,3,1,2,3,1,,,,2,3,,,,,,,,,,,,,,,2,2,1,3,2,2,,,,,,,,,,,,,,,,,2,2,4,3,3,1,2,,,,,,,,,,,,,,8,
4769,General Management,field service engineer,Ireland,4,1,2,2,4,2,4,3,,,,3,4,,,,,,,,,,,,,,,1,1,1,1,3,2,,,,,,,,,,,,,,,,,2,4,2,2,3,2,3,,,,,,,,,,,,,,4,
4770,Operations & Manufacturing,engineer,Germany,2,3,2,4,1,2,2,1,,,,1,4,,,,,,,,,,,,,,,1,3,1,3,4,4,,,,,,,,,,,,,,,,,2,4,2,2,2,2,2,,,,,,,,,,,,,,4,
4771,Marketing,sales,Spain,4,2,2,2,4,3,1,3,,,,4,2,,,,,,,,,,,,,,,2,1,1,1,1,4,,,,,,,,,,,,,,,,,4,4,4,3,4,1,2,,,,,,,,,,,,,,4,
4772,Supply Chain,kiosk worker,Netherlands,2,3,2,3,4,4,2,2,,,,2,3,,,,,,,,,,,,,,,3,1,3,3,1,3,,,,,,,,,,,,,,,,,1,2,3,2,4,4,3,,,,,,,,,,,,,,5,
4773,Sales & Export,field service engineer,Brazil,4,2,3,3,2,4,1,2,,,,4,1,,,,,,,,,,,,,,,4,1,1,1,3,2,,,,,,,,,,,,,,,,,2,2,2,4,2,1,1,,,,,,,,,,,,,,7,
4774,Professional Operations,engineer,Belgium,4,3,3,3,3,3,4,1,,,,4,2,,,,,,,,,,,,,,,2,4,1,2,4,3,,,,,,,,,,,,,,,,,2,3,1,1,4,2,3,,,,,,,,,,,,,,10,
4775,Sales & Export,sales,Brazil,2,3,1,1,3,4,4,2,,,,2,1,,,,,,,,,,,,,,,3,3,4,2,4,1,,,,,,,,,,,,,,,,,4,4,4,3,4,1,2,,,,,,,,,,,,,,9,
4776,Sales & Export,kiosk worker,Russia,2,1,1,3,3,4,4,4,,,,2,4,,,,,,,,,,,,,,,1,3,3,3,2,3,,,,,,,,,,,,,,,,,1,3,1,1,3,4,4,,,,,,,,,,,,,,8,
4777,Finance,field service engineer,New Zealand,3,4,2,3,4,2,4,3,,,,2,3,,,,,,,,,,,,,,,4,3,2,2,2,4,,,,,,,,,,,,,,,,,4,2,3,4,4,2,4,,,,,,,,,,,,,,7,
4778,Strategy & PMI,engineer,Malaysia,1,4,1,3,1,4,4,1,,,,3,1,,,,,,,,,,,,,,,1,3,2,4,4,3,,,,,,,,,,,,,,,,,1,1,2,4,2,1,4,,,,,,,,,,,,,,7,
4779,Operations & Manufacturing,sales,Netherlands,2,2,1,1,2,3,3,4,,,,2,3,,,,,,,,,,,,,,,4,2,4,3,4,4,,,,,,,,,,,,,,,,,3,3,2,4,3,4,4,,,,,,,,,,,,,,5,
